No,Judul,Tanggal,Rincian,Dokumentasi
73,Mengumpulkan gambar makanan menu bumdes,28 Januari 2026Jam: 21:00 - 23:58 JKEM: 3.00,Mengambil foto asli menu kuliner di kantin BUMDes Kalosi untuk menggantikan gambar placeholder sementara di website katalog.,https://sipbpm.unhas.ac.id/media/logbook/2026/H071231056/npc_number_2026-02-02_121438.911551.jpeg
74,Setup VPS,29 Januari 2026Jam: 08:05 - 08:50 JKEM: 1.00,"Menyewa dan mengonfigurasi Virtual Private Server (VPS) Ubuntu, menginstal Node.js, Docker, dan Nginx sebagai persiapan mempublikasikan website BUMDes ke internet.",https://sipbpm.unhas.ac.id/media/logbook/2026/H071231056/npc_number_2026-02-02_121443.528016.jpeg
75,Rapat koordinasi bersama Pemdes Kalosi,29 Januari 2026Jam: 09:30 - 11:00 JKEM: 2.00,Rapat koordinasi teknis bersama aparat Desa Kalosi untuk mendiskusikan tanggal penyerahan resmi website BUMDes.,https://sipbpm.unhas.ac.id/media/logbook/2026/H071231056/npc_number_2026-02-02_121449.426556.jpg
76,Deployment BumDes Sumber Kalosi ke VPS - Part 1,29 Januari 2026Jam: 11:05 - 12:15 JKEM: 1.00,Melakukan deployment (unggah file kode program) website BUMDes tahap pertama ke server VPS agar dapat diakses melalui alamat IP publik.,https://sipbpm.unhas.ac.id/media/logbook/2026/H071231056/npc_number_2026-02-02_121453.711046.jpg
77,Ganti Gambar yang Masih Placeholder,29 Januari 2026Jam: 13:05 - 16:00 JKEM: 3.00,Mengunggah foto-foto asli produk kuliner dan wahana wisata ke dalam server produksi untuk menggantikan gambar sampel di katalog website.,https://sipbpm.unhas.ac.id/media/logbook/2026/H071231056/npc_number_2026-02-02_121457.896111.jpeg
78,Menyiram Cabai dan Memasang Pagar,30 Januari 2026Jam: 16:00 - 17:55 JKEM: 2.00,Membantu menyiram tanaman cabai dan memperbaiki pagar pelindung kebun ketahanan pangan agar aman dari gangguan hewan ternak.,https://sipbpm.unhas.ac.id/media/logbook/2026/H071231056/npc_number_2026-02-02_121735.512329.jpeg
79,Pembuatan Halaman 404 (Not Found),31 Januari 2026Jam: 12:45 - 15:30 JKEM: 3.00,Membuat desain dan pesan ramah pada Halaman 404 (Halaman Tidak Ditemukan) untuk mengarahkan pengguna kembali ke halaman utama jika terjadi kesalahan tautan.,https://sipbpm.unhas.ac.id/media/logbook/2026/H071231056/npc_number_2026-02-02_121358.574022.png
80,Implementasi Fitur Hapus Komentar & Ulasan,31 Januari 2026Jam: 19:45 - 23:58 JKEM: 4.00,Mengembangkan fitur hapus ulasan pada dashboard admin agar pengelola BUMDes dapat menyaring komentar yang bersifat spam atau tidak pantas.,https://sipbpm.unhas.ac.id/media/logbook/2026/H071231056/npc_number_2026-02-02_121400.930615.jpeg
81,Optimasi Tampilan Hero Section & Navigasi,1 Februari 2026Jam: 07:00 - 11:34 JKEM: 5.00,Mengoptimalkan tampilan slider halaman utama (Hero Section) dan menyederhanakan menu navigasi agar website lebih ramah pengguna.,https://sipbpm.unhas.ac.id/media/logbook/2026/H071231056/npc_number_2026-02-02_121405.968551.jpeg
82,Penyederhanaan Alur Checkout (Redireksi WhatsApp Manual),1 Februari 2026Jam: 12:15 - 13:00 JKEM: 1.00,Menyederhanakan alur belanja di mana proses checkout secara langsung mengalihkan pembeli ke nomor WhatsApp operator BUMDes tanpa perantara yang rumit.,https://sipbpm.unhas.ac.id/media/logbook/2026/H071231056/npc_number_2026-02-02_121408.444194.png
83,Kesiapan Produksi & Refactor Checkout,1 Februari 2026Jam: 13:05 - 14:50 JKEM: 2.00,"Melakukan refactoring kode program keranjang belanja, merapikan fungsi database, serta memastikan aplikasi web berjalan stabil di server produksi.",https://sipbpm.unhas.ac.id/media/logbook/2026/H071231056/npc_number_2026-02-02_121411.099190.jpeg
84,Deployment BumDes Sumber Kalosi ke VPS - Part 2,1 Februari 2026Jam: 15:00 - 15:40 JKEM: 1.00,Melakukan pemenuhan pembaruan kode program (update deployment) tahap kedua di server VPS untuk menyinkronkan data database PostgreSQL terbaru.,https://sipbpm.unhas.ac.id/media/logbook/2026/H071231056/npc_number_2026-02-02_121414.604743.png
85,Deployment BumDes Sumber Kalosi ke VPS - Part 3,1 Februari 2026Jam: 21:00 - 22:20 JKEM: 1.00,Mengonfigurasi web server Nginx dan menyambungkan nama domain desa resmi ke alamat IP server VPS.,https://sipbpm.unhas.ac.id/media/logbook/2026/H071231056/npc_number_2026-02-02_121417.589987.jpeg
86,Deployment BumDes Sumber Kalosi ke VPS - Part 4,1 Februari 2026Jam: 22:22 - 23:58 JKEM: 2.00,Memasang sertifikat SSL (HTTPS) dari Let's Encrypt pada server Nginx untuk menjamin keamanan enkripsi data pengguna di website BUMDes.,https://sipbpm.unhas.ac.id/media/logbook/2026/H071231056/npc_number_2026-02-02_121418.904641.jpeg
87,Implementasi Open Graph Metadata untuk SEO & Social Sharing,2 Februari 2026Jam: 00:20 - 01:00 JKEM: 1.00,Memasang konfigurasi Open Graph Metadata pada website agar pratinjau tautan website menampilkan foto logo BUMDes dan deskripsi yang menarik saat dibagikan.,https://sipbpm.unhas.ac.id/media/logbook/2026/H071231056/npc_number_2026-02-13_062634.073834.jpeg
88,Finalisasi Data & Gambar Produk VPS,2 Februari 2026Jam: 23:00 - 23:45 JKEM: 1.00,Memeriksa dan melengkapi semua data produk serta ulasan di database VPS sehingga website BUMDes siap dikunjungi pembeli umum.,https://sipbpm.unhas.ac.id/media/logbook/2026/H071231056/npc_number_2026-02-13_062636.499763.jpeg
89,Penyusunan File Hirilisasi Proker,3 Februari 2026Jam: 20:30 - 23:45 JKEM: 3.00,Menyusun draf formulir hilirisasi program kerja KKN sebagai laporan tertulis penyerahan teknologi tepat guna kepada masyarakat desa.,https://sipbpm.unhas.ac.id/media/logbook/2026/H071231056/npc_number_2026-02-13_062638.450259.jpeg
90,Mengedit Foto dan Melengkapi Buku Panduan,4 Februari 2026Jam: 18:30 - 23:58 JKEM: 5.00,Mengedit tangkapan layar penggunaan website dan menyusunnya ke dalam dokumen cetak Buku Panduan Penggunaan Website (User Manual) setebal 15 halaman.,https://sipbpm.unhas.ac.id/media/logbook/2026/H071231056/npc_number_2026-02-13_062641.433034.jpeg
91,Penyerahan Website Bumdes sumber kalosi,5 Februari 2026Jam: 11:15 - 11:50 JKEM: 1.00,Menyerahkan secara resmi website BUMDes Sumber Kalosi serta berkas Buku Panduan Penggunaan Website kepada Pemerintah Desa Kalosi.,https://sipbpm.unhas.ac.id/media/logbook/2026/H071231056/npc_number_2026-02-13_062623.006203.jpeg
92,Menyusun Konten Publikasi Program Kerja,5 Februari 2026Jam: 12:20 - 13:50 JKEM: 2.00,Menyusun artikel berita rilis publikasi mengenai selesainya pembuatan website BUMDes untuk dipasang di media massa atau papan informasi desa.,https://sipbpm.unhas.ac.id/media/logbook/2026/H071231056/npc_number_2026-02-13_062624.655484.png
93,Seminar Hasil,7 Februari 2026Jam: 09:00 - 11:00 JKEM: 2.00,Mempresentasikan hasil seluruh pelaksanaan program kerja KKN Gelombang 115 di hadapan Dosen Pembimbing KKN dan perangkat pemerintah desa.,https://sipbpm.unhas.ac.id/media/logbook/2026/H071231056/npc_number_2026-02-13_062630.172932.jpg
